Series#;Series_description;TSC_serie;TSC_description_serie;Sub;Points of focus
CC1;Control Environment;CC1.1;COSO Principle 1: The entity demonstrates a commitment to integrity and ethical values.;CC1.1.1;Sets the Tone at the Top—The board of directors and management, at all levels, demonstrate through their directives, actions, and behavior the importance of integrity and ethical values to support the functioning of the system of internal control.
CC1;Control Environment;CC1.1;COSO Principle 1: The entity demonstrates a commitment to integrity and ethical values.;CC1.1.2;Establishes Standards of Conduct—The expectations of the board of directors and senior management concerning integrity and ethical values are defined in the entity’s standards of conduct and understood at all levels of the entity and by outsourced service providers and business partners.
CC1;Control Environment;CC1.1;COSO Principle 1: The entity demonstrates a commitment to integrity and ethical values.;CC1.1.3;Evaluates Adherence to Standards of Conduct—Processes are in place to evaluate the performance of individuals and teams against the entity’s expected standards of conduct.
CC1;Control Environment;CC1.1;COSO Principle 1: The entity demonstrates a commitment to integrity and ethical values.;CC1.1.4;Addresses Deviations in a Timely Manner—Deviations from the entity’s expected standards of conduct are identified and remedied in a timely and consistent manner.
CC1;Control Environment;CC1.1;COSO Principle 1: The entity demonstrates a commitment to integrity and ethical values.;CC1.1.5;Considers Contractors and Vendor Employees in Demonstrating Its Commitment—Management and the board of directors consider the use of contractors and vendor employees in its processes for establishing standards of conduct, evaluating adherence to those standards, and addressing deviations in a timely manner. 
CC1;Control Environment;CC1.2;COSO Principle 2: The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.;CC1.2.1;Establishes Oversight Responsibilities—The board of directors identifies and accepts its oversight responsibilities in relation to established requirements and expectations.
CC1;Control Environment;CC1.2;COSO Principle 2: The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.;CC1.2.2;Applies Relevant Expertise—The board of directors defines, maintains, and periodically evaluates the skills and expertise needed among its members to enable them to ask probing questions of senior management and take commensurate action.
CC1;Control Environment;CC1.2;COSO Principle 2: The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.;CC1.2.3;Operates Independently—The board of directors has sufficient members who are independent from management and objective in evaluations and decision making.
CC1;Control Environment;CC1.2;COSO Principle 2: The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.;CC1.2.4;Supplements Board Expertise—The board of directors supplements its expertise relevant to security, availability, processing integrity, confidentiality, and privacy, as needed, through the use of a subcommittee or consultants.
CC1;Control Environment;CC1.3;COSO Principle 3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.;CC1.3.1;Considers All Structures of the Entity—Management and the board of directors consider the multiple structures used (including operating units, legal entities, geographic distribution, and outsourced service providers) to support the achievement of objectives.
CC1;Control Environment;CC1.3;COSO Principle 3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.;CC1.3.2;Establishes Reporting Lines—Management designs and evaluates lines of reporting for each entity structure to enable execution of authorities and responsibilities and flow of information to manage the activities of the entity.
CC1;Control Environment;CC1.3;COSO Principle 3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.;CC1.3.3;Defines, Assigns, and Limits Authorities and Responsibilities—Management and the board of directors delegate authority, define responsibilities, and use appropriate processes and technology to assign responsibility and segregate duties as necessary at the various levels of the organization.
CC1;Control Environment;CC1.3;COSO Principle 3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.;CC1.3.4;Addresses Specific Requirements When Defining Authorities and Responsibilities—Management and the board of directors consider requirements relevant to security, availability, processing integrity, confidentiality, and privacy when defining authorities and responsibilities. 
CC1;Control Environment;CC1.3;COSO Principle 3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.;CC1.3.5;Considers Interactions With External Parties When Establishing Structures, Reporting Lines, Authorities, and Responsibilities—Management and the board of directors consider the need for the entity to interact with and monitor the activities of external parties when establishing structures, reporting lines, authorities, and responsibilities. 
CC1;Control Environment;CC1.4;COSO Principle 4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.;CC1.4.1;Establishes Policies and Practices—Policies and practices reflect expectations of competence necessary to support the achievement of objectives.
CC1;Control Environment;CC1.4;COSO Principle 4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.;CC1.4.2;Evaluates Competence and Addresses Shortcomings—The board of directors and management evaluate competence across the entity and in outsourced service providers in relation to established policies and practices and act as necessary to address shortcomings.
CC1;Control Environment;CC1.4;COSO Principle 4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.;CC1.4.3;Attracts, Develops, and Retains Individuals—The entity provides the mentoring and training needed to attract, develop, and retain sufficient and competent personnel and outsourced service providers to support the achievement of objectives.
